YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1608,8602,11294,8558,10256,5868,13781,19760,15679,10642,15277,11455,11628,16894,9461,14989,9489,12834,14181,9887,10120,10184,12551,17550,9168
1609,8619,11297,8570,10258,5877,13787,19798,15702,10652,15270,11476,11630,16926,9457,14999,9480,12839,14199,9902,10105,10187,12547,17556,9178
1610,8645,11298,8583,10276,5875,13782,19832,15697,10671,15292,11483,11616,16933,9456,15016,9490,12870,14226,9912,10102,10185,12562,17558,9166
1611,8650,11295,8594,10274,5881,13804,19847,15670,10682,15271,11529,11626,16947,9456,15033,9510,12877,14254,9908,10099,10177,12576,17563,9160
1612,8670,11302,8600,10329,5878,13811,19896,15692,10706,15269,11592,11638,16972,9450,15043,9552,12897,14274,9912,10105,10187,12610,17584,9193
1701,8698,11312,8621,10346,5875,13833,19973,15683,10733,15313,11610,11660,16980,9477,15110,9538,12931,14340,9928,10128,10243,12585,17636,9180
1702,8750,11323,8665,10357,5896,13846,20032,15729,10764,15336,11653,11693,17009,9516,15139,9520,12945,14392,9929,10132,10271,12584,17703,9192
1703,8788,11361,8712,10367,5920,13902,20119,15740,10820,15352,11682,11712,17055,9544,15196,9549,13010,14460,9973,10151,10312,12598,17767,9201
1704,8808,11392,8737,10359,5914,13899,20161,15771,10854,15345,11720,11755,17088,9560,15229,9558,13038,14504,9987,10156,10339,12599,17793,9212
1705,8833,11397,8764,10375,5938,13946,20186,15803,10879,15383,11752,11774,17091,9580,15278,9575,13063,14553,10006,10189,10363,12622,17834,9234
1706,8825,11392,8757,10381,5949,13943,20175,15803,10878,15369,11770,11796,17093,9583,15296,9585,13021,14552,10020,10193,10386,12615,17829,9230
1707,8838,11397,8761,10384,5949,13937,20189,15794,10890,15380,11796,11814,17096,9595,15322,9591,13031,14570,10025,10187,10385,12615,17836,9210
1708,8849,11406,8762,10392,5950,13958,20213,15827,10895,15387,11796,11834,17120,9598,15385,9600,13044,14617,10021,10202,10382,12642,17863,9229
1709,8864,11424,8783,10397,5949,13972,20258,15846,10911,15412,11805,11856,17117,9598,15398,9595,13067,14688,10012,10209,10404,12655,17893,9241
1710,8878,11436,8766,10403,5956,14005,20269,15835,10911,15447,11820,11865,17135,9612,15431,9600,13104,14718,10027,10212,10443,12684,17937,9246
1711,8892,11454,8767,10417,5947,14020,20252,15824,10929,15450,11841,11893,17145,9601,15423,9611,13128,14740,10024,10201,10449,12684,17936,9245
1712,8898,11447,8773,10458,5963,14024,20289,15837,10946,15441,11898,11916,17174,9630,15458,9669,13141,14779,10035,10191,10461,12682,17931,9286
